date,open,high,low,close,volume
05/11/1979,4.0165,4.0165,3.9848,4.0086,66610
06/11/1979,4.0086,4.0086,3.9689,3.9848,79602
07/11/1979,3.9919,3.9919,3.9436,3.9597,105681
08/11/1979,3.9597,3.9999,3.9355,3.9838,146465
09/11/1979,3.9839,4.0241,3.9677,3.9758,141456
12/11/1979,3.9758,4.0482,3.9677,4.0482,117425
13/11/1979,4.0402,4.0402,3.9919,4.008,92212
14/11/1979,4.008,4.0563,3.9919,4.0241,117857
15/11/1979,4.0241,4.0724,3.9919,4.0241,139813
16/11/1979,4.016,4.016,3.9758,3.9919,95741
19/11/1979,3.9919,4.016,3.9757,3.9838,88412
20/11/1979,3.9838,4.0241,3.9597,3.9677,110987
21/11/1979,3.9677,3.9838,3.9436,3.9677,105545
23/11/1979,3.9758,4.008,3.9758,3.9919,79092
26/11/1979,4.0161,4.1609,4.0161,4.1609,145120
27/11/1979,4.1609,4.2012,4.1368,4.1529,182836
28/11/1979,4.1528,4.3138,4.1287,4.2333,140754
29/11/1979,4.2333,4.2655,4.2092,4.2333,88009
30/11/1979,4.2172,4.2172,4.177,4.2011,76479
03/12/1979,4.1931,4.1931,4.1529,4.1851,56276
04/12/1979,4.1851,4.2092,4.177,4.2092,78608
05/12/1979,4.2172,4.2735,4.2172,4.2333,101720
06/12/1979,4.2333,4.3299,4.2092,4.3299,76371
07/12/1979,4.3299,4.3541,4.2736,4.2897,156892
10/12/1979,4.2897,4.2897,4.2575,4.2736,69287
11/12/1979,4.2736,4.2977,4.2253,4.2253,106112
12/12/1979,4.2253,4.2333,4.193,4.2011,79604
